Region Name,City Name,School Name,School Score
City of Toronto,Toronto,Saint-Jean-de-Lalande,6.7
Peel Region,Mississauga,Settler's Green,6.7
Peel Region,Brampton,Shaw,6.7
Durham Region,Oshawa,Sherwood,6.7
City of Toronto,Toronto,St. Agnes,6.7
Halton Region,Milton,St. Anthony of Padua,6.7
City of Toronto,Toronto,St. Brigid,6.7
York Region,Newmarket,St. Elizabeth Seton,6.7
City of Toronto,Toronto,St. Fidelis,6.7
Peel Region,Brampton,St. Jacinta Marto,6.7
Durham Region,Oshawa,St. Kateri Tekakwitha,6.7
Durham Region,Whitby,St. Mark the Evangelist,6.7
City of Toronto,Toronto,St. Monica,6.7
City of Toronto,Toronto,St. Richard,6.7
City of Toronto,Toronto,Tam O'Shanter,6.7
York Region,Thornhill,Wilshire,6.7
City of Toronto,Toronto,Blessed Kateri Tekakwitha,6.6
City of Toronto,Toronto,Bowmore Road,6.6
York Region,Newmarket,Canadian Martyrs,6.6
Peel Region,Mississauga,Canadian Martyrs,6.6
Halton Region,Burlington,Central,6.6
City of Toronto,Toronto,Clinton Street,6.6
York Region,Newmarket,Crossland,6.6
York Region,Thornhill,E J Sand,6.6
Halton Region,Oakville,Emily Carr,6.6
York Region,Woodbridge,Forest Run,6.6
Halton Region,Oakville,Gladys Speers,6.6
City of Toronto,Toronto,Glen Park,6.6
City of Toronto,Toronto,Humewood,6.6
York Region,Markham,James Robinson,6.6
Peel Region,Mississauga,Le Flambeau,6.6
City of Toronto,Toronto,Lord Roberts,6.6
City of Toronto,Toronto,Morrish,6.6
Durham Region,Oshawa,Pierre Elliott Trudeau,6.6
Halton Region,Milton,Saint-Nicolas,6.6
City of Toronto,Toronto,St. Aidan,6.6
Durham Region,Whitby,St. Bernard,6.6
York Region,Stouffville,St. Brendan,6.6
City of Toronto,Toronto,St. Conrad,6.6
Peel Region,Mississauga,St. Hilary,6.6
City of Toronto,Toronto,St. Jerome,6.6
York Region,Aurora,St. Jerome,6.6
York Region,Newmarket,St. John Chrysostom,6.6
Peel Region,Mississauga,St. Jude,6.6
City of Toronto,Toronto,St. Luke,6.6
City of Toronto,Toronto,St. Michael,6.6
York Region,Vaughan,St. Michael the Archangel,6.6
Halton Region,Oakville,St. Michaels,6.6
Halton Region,Burlington,St. Paul,6.6
Peel Region,Mississauga,St. Richard,6.6
York Region,Woodbridge,St. Veronica,6.6
Durham Region,Oshawa,Sunset Heights,6.6
York Region,Thornhill,Bishop Scalabrini,6.5
Durham Region,Whitby,Blair Ridge,6.5
Halton Region,Burlington,Clarksdale,6.5
City of Toronto,Toronto,Dublin Heights,6.5
York Region,Vaughan,Guardian Angels,6.5
City of Toronto,Toronto,Highland Creek,6.5
City of Toronto,Toronto,J R Wilcox,6.5
York Region,Woodbridge,Johnny Lombardi,6.5
Peel Region,Brampton,Lorenville,6.5
Halton Region,Burlington,Maplehurst,6.5
