Region Name,City Name,School Name,School Score
York Region,Stouffville,Stouffville,7.0
Durham Region,Whitby,Saint-Charles-Garnier,7.0
Halton Region,Oakville,Gatan Gervais,7.0
Durham Region,Whitby,Henry Street,7.0
Durham Region,Oshawa,Maxwell Heights,7.0
Peel Region,Brampton,North Park,7.0
Durham Region,Oshawa,R. S. McLaughlin,7.0
Halton Region,Oakville,St Thomas Aquinas,6.9
Peel Region,Mississauga,Sainte-Famille,6.9
City of Toronto,Toronto,Mary Ward,6.9
York Region,Newmarket,Sir William Mulock,6.9
Peel Region,Brampton,St Edmund Campion,6.9
Durham Region,Whitby,Father Leo J Austin,6.9
York Region,Thornhill,St Elizabeth,6.8
Peel Region,Mississauga,St Martin,6.8
Peel Region,Mississauga,John Cabot,6.8
York Region,Woodbridge,Emily Carr,6.8
Peel Region,Brampton,Notre Dame,6.8
City of Toronto,Toronto,St Patrick,6.8
York Region,Woodbridge,Father Bressani,6.8
Peel Region,Mississauga,Applewood Heights,6.8
Peel Region,Mississauga,St. Joan of Arc,6.7
City of Toronto,Toronto,Stephen Leacock,6.7
Peel Region,Brampton,Harold M. Brathwaite,6.7
Durham Region,Ajax,J Clarke Richardson,6.7
Peel Region,Caledon,Mayfield,6.7
Durham Region,Ajax,Pickering,6.7
