School_Name,City,City,Current_rank,Overall_last,dummy_1,dummy_2,dummy_3,dummy_4
Orchard,Park,Burlington,8.2,n/a,,,,
Our,Lady,of,Sorrows,Toronto,8.2,n/a,,
Parkview,Unionville,8.2,n/a,,,,,
Percy,Williams,Toronto,8.2,n/a,,,,
Post's,Corners,Oakville,8.2,n/a,,,,
Roy,H,Crosby,Markham,8.2,n/a,,,
Southwood,Windsor,8.2,n/a,,,,,
St,Angela,Merici,Woodbridge,8.2,n/a,,,
St,Anne,Richmond,Hill,8.2,n/a,,,
St,John,the,Baptist,Belle,River,8.2,n/a,
St,Martin,of,Tours,Stoney,Creek,8.2,n/a,
St,Monica,Buttonville,8.2,n/a,,,,
St,Vincent,de,Paul,Niagara,Falls,8.2,n/a,
Sts,Martha,&,Mary,Mississauga,8.2,n/a,,
Vimy,Ridge,Ajax,8.2,n/a,,,,
Woodland,St,Catharines,8.2,n/a,,,,
Agincourt,Toronto,8.1,n/a,,,,,
AI-Manarat,Heights,Mississauga,8.1,n/a,,,,
Ange-Gabriel,Mississauga,8.1,n/a,,,,,
An-Noor,Windsor,8.1,n/a,,,,,
Bayview,Hill,Richmond,Hill,8.1,n/a,,,
Blessed,Kateri,London,8.1,n/a,,,,
Connaught,Ottawa,8.1,n/a,,,,,
du,Chêne,Oakville,8.1,n/a,,,,
Gracefield,St,Catharines,8.1,n/a,,,,
Harriet,Tubman,St,Catharines,8.1,n/a,,,
Hon,Earl,Rowe,Bradford,8.1,n/a,,,
Hopewell,Avenue,Ottawa,8.1,n/a,,,,
Langton,Fenelon,Falls,8.1,n/a,,,,
Macville,Bolton,8.1,n/a,,,,,
Moraine,Hills,Richmond,Hill,8.1,n/a,,,
Mother,Teresa,Russell,8.1,n/a,,,,
North,Bendale,Toronto,8.1,n/a,,,,
Ontario,Muslim,Academy,Cambridge,8.1,n/a,,,
Oscar,Peterson,Stouffville,8.1,n/a,,,,
Our,Lady,of,Fatima,Renfrew,8.1,n/a,,
Our,Lady,of,the,Rosary,Concord,8.1,n/a,
Pope,John,Paul,II,Richmond,Hill,8.1,n/a,
Sainte-Madeleine,Toronto,8.1,n/a,,,,,
Salaheddin,Islamic,Toronto,8.1,n/a,,,,
St,Charles,Garnier,Richmond,Hill,8.1,n/a,,
St,Clare,Orléans,8.1,n/a,,,,
St,Mary,of,the,Angels,Toronto,8.1,n/a,
St,Michael,Niagara-on-the-Lake,8.1,n/a,,,,
St,Richard,Mississauga,8.1,n/a,,,,
St.,Cecilia,Nepean,8.1,n/a,,,,
Sunningdale,Oakville,8.1,n/a,,,,,
Terre-des-Jeunes,Ottawa,8.1,n/a,,,,,
The,Divine,Infant,Toronto,8.1,n/a,,,
West,Preparatory,Toronto,8.1,n/a,,,,
All,Saints,Unionville,8,n/a,,,,
Byron,Southwood,London,8,n/a,,,,
Charlton,Thornhill,8,n/a,,,,,
Dewson,Street,Toronto,8,n/a,,,,
Divine,Infant,Orléans,8,n/a,,,,
Earl,Haig,Toronto,8,n/a,,,,
Fred,Varley,Markham,8,n/a,,,,
Gandatsetiagon,Pickering,8,n/a,,,,,
Georges-Étienne-Cartier,Toronto,8,n/a,,,,,
Harry,Bowes,Stouffville,8,n/a,,,,
Hilson,Avenue,Ottawa,8,n/a,,,,
Holy,Spirit,Aurora,8,n/a,,,,
Ingleborough,Brampton,8,n/a,,,,,
Inglewood,Heights,Toronto,8,n/a,,,,
Jeanne-Lajoie,Toronto,8,n/a,,,,,
Johnsview,Village,Thornhill,8,n/a,,,,
Lakeview,Grimsby,8,n/a,,,,,
Lumen,Christi,Milton,8,n/a,,,,
MAC,Maple,Grove,Kitchener,8,n/a,,,
Maple,Grove,Oakville,8,n/a,,,,
Maplehurst,Burlington,8,n/a,,,,,
McMaster,Ottawa,8,n/a,,,,,
Mother,Teresa,Oakville,8,n/a,,,,
